date,publisher,candidate,sentiment
2020-03-21,NewYorkTimes,buttigieg,0.0
2020-03-21,NewYorkTimes,klobuchar,0.0
2020-03-21,NewYorkTimes,sanders,0.04747085702968055
2020-03-21,NewYorkTimes,trump,-0.004839789839789848
2020-03-21,NewYorkTimes,warren,-0.08333333333333333
2020-03-21,NewYorkTimes,yang,0.09999999999999999
2020-03-21,Politico,biden,0.12273122710622753
2020-03-21,Politico,bloomberg,0.10714285714285714
2020-03-21,Politico,sanders,0.05584415584415583
2020-03-21,Politico,trump,0.05667148482254164
2020-03-21,WashingtonTimes,biden,0.05224747474747475
2020-03-21,WashingtonTimes,sanders,0.25333333333333335
2020-03-21,WashingtonTimes,trump,0.007238220716481581
2020-03-22,AP,biden,0.15
2020-03-22,AP,trump,0.0688657999826911
2020-03-22,AP,warren,0.0
2020-03-22,Breitbart,,0.16666666666666666
2020-03-22,Breitbart,biden,0.0033035714285714335
2020-03-22,Breitbart,bloomberg,0.05333333333333334
2020-03-22,Breitbart,sanders,0.0
2020-03-22,Breitbart,trump,0.0512739440408932
2020-03-22,Breitbart,warren,-0.25277777777777777
2020-03-22,Fox,biden,0.021895600274313143
2020-03-22,Fox,sanders,-0.0235968992248062
2020-03-22,Fox,trump,0.059249989303897674
2020-03-22,Fox,warren,0.21538461538461537
2020-03-22,NBC,biden,0.0
2020-03-22,NBC,sanders,0.0
2020-03-22,NBC,trump,0.044318144535910334
2020-03-22,NBC,warren,0.0
2020-03-22,NewYorkTimes,biden,-0.009085648148148147
2020-03-22,NewYorkTimes,sanders,0.0375
2020-03-22,NewYorkTimes,trump,0.06884102347516984
2020-03-22,Politico,biden,0.07772145909645908
2020-03-22,Politico,bloomberg,0.0
2020-03-22,Politico,buttigieg,0.11538461538461539
2020-03-22,Politico,klobuchar,0.03421717171717171
2020-03-22,Politico,sanders,0.059201388888888866
2020-03-22,Politico,trump,0.08833562340824913
2020-03-22,Politico,warren,-0.014123376623376626
2020-03-22,WashingtonTimes,biden,0.016501377410468313
2020-03-22,WashingtonTimes,trump,0.05958223310335987
2020-03-23,AP,biden,0.05312499999999999
2020-03-23,AP,bloomberg,0.1595021645021645
2020-03-23,AP,klobuchar,0.11363636363636362
2020-03-23,AP,sanders,0.08214285714285711
2020-03-23,AP,trump,0.002665677557296057
2020-03-23,AP,warren,0.1199294532627866
2020-03-23,Breitbart,biden,0.05827922077922078
2020-03-23,Breitbart,bloomberg,0.0
2020-03-23,Breitbart,sanders,0.07094155844155844
2020-03-23,Breitbart,trump,0.07114329193151506
2020-03-23,Buzzfeed,bloomberg,0.01111111111111111
2020-03-23,Buzzfeed,trump,0.01694636093073594
2020-03-23,Fox,,0.5
2020-03-23,Fox,biden,0.0766562110206178
2020-03-23,Fox,bloomberg,0.0939957611832612
2020-03-23,Fox,klobuchar,-0.10223800505050508
2020-03-23,Fox,sanders,0.02441666666666668
2020-03-23,Fox,trump,0.05548934224131076
2020-03-23,Fox,warren,0.0
2020-03-23,NBC,biden,0.12603492552645118
2020-03-23,NBC,bloomberg,0.054166666666666655
2020-03-23,NBC,klobuchar,-0.07571428571428569
2020-03-23,NBC,sanders,0.0
2020-03-23,NBC,trump,0.06841397849462363
2020-03-23,NBC,warren,0.3555555555555555
2020-03-23,NewYorkTimes,biden,0.10385719775393693
2020-03-23,NewYorkTimes,trump,-0.028935185185185206
2020-03-23,Politico,biden,0.0481358225108225
2020-03-23,Politico,bloomberg,0.07545862146511488
2020-03-23,Politico,klobuchar,0.15185185185185188
2020-03-23,Politico,sanders,0.0
2020-03-23,Politico,trump,0.060121588519199284
2020-03-23,Politico,warren,0.0
2020-03-23,Politico,yang,0.0
2020-03-23,WashingtonTimes,biden,0.08052867965367964
2020-03-23,WashingtonTimes,bloomberg,0.02708333333333333
2020-03-23,WashingtonTimes,klobuchar,-0.060416666666666674
2020-03-23,WashingtonTimes,sanders,0.049999999999999996
2020-03-23,WashingtonTimes,trump,0.05323356867999718
2020-03-23,WashingtonTimes,warren,0.0
2020-03-24,AP,biden,0.05289772727272726
2020-03-24,AP,trump,0.07995850922156894
2020-03-24,Breitbart,biden,0.02951914983164983
2020-03-24,Breitbart,sanders,0.11302083333333333
2020-03-24,Breitbart,trump,0.08057656505843036
2020-03-24,Buzzfeed,trump,0.017442795299938158
2020-03-24,Fox,,0.19999999999999998
2020-03-24,Fox,biden,0.030106394434752676
2020-03-24,Fox,bloomberg,0.0
2020-03-24,Fox,gabbard,0.0
2020-03-24,Fox,sanders,0.0013468013468013482
2020-03-24,Fox,trump,0.06758498392769496
2020-03-24,Fox,warren,0.1416666666666667
2020-03-24,Fox,yang,0.0
2020-03-24,NBC,biden,0.0907486631016042
2020-03-24,NBC,bloomberg,0.1
2020-03-24,NBC,klobuchar,0.0
2020-03-24,NBC,sanders,0.0
2020-03-24,NBC,trump,0.1238746852375264
2020-03-24,NBC,warren,0.0
2020-03-24,NewYorkTimes,biden,0.16961279461279463
2020-03-24,NewYorkTimes,sanders,0.06212121212121211
2020-03-24,NewYorkTimes,trump,-0.00619921980091471
2020-03-24,Politico,,0.10625
2020-03-24,Politico,biden,-0.008005952380952381
2020-03-24,Politico,klobuchar,0.0
2020-03-24,Politico,sanders,0.19990487582592845
2020-03-24,Politico,trump,0.07989619282090515
2020-03-24,WashingtonTimes,,0.0
2020-03-24,WashingtonTimes,biden,0.14
2020-03-24,WashingtonTimes,bloomberg,0.04941390091390092
2020-03-24,WashingtonTimes,klobuchar,0.04329004329004328
2020-03-24,WashingtonTimes,trump,0.041620344675900235
2020-03-24,WashingtonTimes,warren,0.05000000000000003
2020-03-25,AP,biden,0.10478677975770996
2020-03-25,AP,sanders,0.07834595959595961
2020-03-25,AP,trump,0.13102908837616284
2020-03-25,Breitbart,biden,0.004261363636363637
2020-03-25,Breitbart,bloomberg,0.09603174603174602
2020-03-25,Breitbart,sanders,0.04621212121212121
2020-03-25,Breitbart,trump,0.06146000824572253
2020-03-25,Buzzfeed,sanders,0.09558823529411764
2020-03-25,Buzzfeed,trump,-0.021612191433047052
2020-03-25,Fox,,0.18593750000000006
2020-03-25,Fox,biden,0.021271587658513468
2020-03-25,Fox,klobuchar,0.0
2020-03-25,Fox,sanders,0.0849671717171717
2020-03-25,Fox,trump,0.019212000186193703
2020-03-25,Fox,warren,-0.03749999999999999
2020-03-25,NBC,,0.19999999999999998
2020-03-25,NBC,biden,0.18050426136363637
2020-03-25,NBC,sanders,0.18439520202020213
2020-03-25,NBC,trump,0.08082378091713789
2020-03-25,NBC,warren,0.0
2020-03-25,NewYorkTimes,biden,0.06182983682983684
2020-03-25,NewYorkTimes,sanders,0.1003787878787879
2020-03-25,NewYorkTimes,trump,0.052250180375180436
2020-03-25,Politico,biden,0.03236654040404039
2020-03-25,Politico,bloomberg,0.04545454545454544
2020-03-25,Politico,klobuchar,-0.15000000000000002
2020-03-25,Politico,sanders,0.06995159932659933
2020-03-25,Politico,trump,0.049678765567511274
2020-03-25,Politico,warren,0.25
2020-03-25,WashingtonTimes,biden,0.028335203890759473
2020-03-25,WashingtonTimes,klobuchar,0.049999999999999996
2020-03-25,WashingtonTimes,sanders,0.0625
2020-03-25,WashingtonTimes,trump,0.03857641394099728
2020-03-25,WashingtonTimes,warren,0.0
2020-03-26,AP,biden,0.0
2020-03-26,AP,trump,0.03991529357808423
2020-03-26,Breitbart,,0.25
2020-03-26,Breitbart,biden,0.09641408331009171
2020-03-26,Breitbart,bloomberg,0.12525252525252525
2020-03-26,Breitbart,sanders,0.10802830940988835
2020-03-26,Breitbart,trump,0.10432949695029527
2020-03-26,Breitbart,warren,0.0
2020-03-26,Breitbart,yang,-0.09722222222222221
2020-03-26,Fox,biden,0.04712062314103132
2020-03-26,Fox,bloomberg,0.23616071428571428
2020-03-26,Fox,klobuchar,0.0
2020-03-26,Fox,sanders,0.0
2020-03-26,Fox,trump,0.05537902252583993
2020-03-26,NBC,biden,0.12640331890331888
2020-03-26,NBC,sanders,0.0
2020-03-26,NBC,trump,0.071390992794054
2020-03-26,NewYorkTimes,,-0.18181818181818182
2020-03-26,NewYorkTimes,biden,0.0
2020-03-26,NewYorkTimes,sanders,0.11839691558441562
2020-03-26,NewYorkTimes,warren,0.21333333333333332
2020-03-26,Politico,biden,0.045634920634920646
2020-03-26,Politico,sanders,0.0
2020-03-26,Politico,trump,0.02619084667061844
2020-03-26,WashingtonTimes,biden,0.14677218614718618
2020-03-26,WashingtonTimes,klobuchar,-0.008730158730158736
2020-03-26,WashingtonTimes,sanders,0.10925925925925928
2020-03-26,WashingtonTimes,trump,0.03929734064244935
2020-03-26,WashingtonTimes,warren,0.04545454545454545
2020-03-27,AP,trump,0.09586517708996083
2020-03-27,Breitbart,biden,0.005746173469387746
2020-03-27,Breitbart,klobuchar,0.08035714285714285
2020-03-27,Breitbart,sanders,0.018928571428571423
2020-03-27,Breitbart,trump,0.07672923470291897
2020-03-27,Breitbart,warren,0.021428571428571432
2020-03-27,Buzzfeed,trump,-0.011706349206349212
2020-03-27,Fox,,0.0
2020-03-27,Fox,biden,0.017588129701531768
2020-03-27,Fox,bloomberg,0.10305023923444975
2020-03-27,Fox,sanders,0.08376623376623377
2020-03-27,Fox,trump,0.04647935096304663
2020-03-27,Fox,warren,0.0
2020-03-27,NBC,sanders,0.0
2020-03-27,NBC,trump,0.08931408868908867
2020-03-27,NewYorkTimes,biden,0.10954465058750774
2020-03-27,NewYorkTimes,sanders,0.16041666666666665
2020-03-27,NewYorkTimes,trump,-0.020600586061112373
2020-03-27,Politico,biden,0.1344600324229954
2020-03-27,Politico,bloomberg,0.18253968253968256
2020-03-27,Politico,klobuchar,0.10304576376004945
2020-03-27,Politico,sanders,0.15494412050534506
2020-03-27,Politico,trump,0.05160748628670815
2020-03-27,Politico,warren,0.0
2020-03-27,WashingtonTimes,biden,0.03409090909090909
